date,book
2012-01-01,82
2012-01-02,97
2012-01-03,94
2012-01-04,95
2012-01-05,97
2012-01-06,94
2012-01-07,89
2012-01-08,96
2012-01-09,100
2012-01-10,100
2012-01-11,100
2012-01-12,96
2012-01-13,90
2012-01-14,80
2012-01-15,85
2012-01-16,86
2012-01-17,99
2012-01-18,97
2012-01-19,98
2012-01-20,87
2012-01-21,82
2012-01-22,87
2012-01-23,90
2012-01-24,91
2012-01-25,92
2012-01-26,92
2012-01-27,82
2012-01-28,81
2012-01-29,85
2012-01-30,90
2012-01-31,91
2012-02-01,91
2012-02-02,93
2012-02-03,83
2012-02-04,77
2012-02-05,79
2012-02-06,84
2012-02-07,91
2012-02-08,92
2012-02-09,91
2012-02-10,82
2012-02-11,73
2012-02-12,81
2012-02-13,86
2012-02-14,84
2012-02-15,88
2012-02-16,84
2012-02-17,82
2012-02-18,78
2012-02-19,81
2012-02-20,86
2012-02-21,84
2012-02-22,85
2012-02-23,86
2012-02-24,89
2012-02-25,82
2012-02-26,88
2012-02-27,90
2012-02-28,94
2012-02-29,95
2012-03-01,92
2012-03-02,93
2012-03-03,80
2012-03-04,91
2012-03-05,91
2012-03-06,92
2012-03-07,85
2012-03-08,84
2012-03-09,84
2012-03-10,80
2012-03-11,81
2012-03-12,88
2012-03-13,85
2012-03-14,83
2012-03-15,79
2012-03-16,76
2012-03-17,72
2012-03-18,81
2012-03-19,92
2012-03-20,90
2012-03-21,88
2012-03-22,90
2012-03-23,87
2012-03-24,80
2012-03-25,92
2012-03-26,93
2012-03-27,92
2012-03-28,89
2012-03-29,85
2012-03-30,81
2012-03-31,72
2012-04-01,85
2012-04-02,84
2012-04-03,85
2012-04-04,84
2012-04-05,79
2012-04-06,73
2012-04-07,75
2012-04-08,73
2012-04-09,82
2012-04-10,84
2012-04-11,86
2012-04-12,82
2012-04-13,80
2012-04-14,76
2012-04-15,82
2012-04-16,85
2012-04-17,87
2012-04-18,87
2012-04-19,87
2012-04-20,85
2012-04-21,78
2012-04-22,85
2012-04-23,90
2012-04-24,89
2012-04-25,88
2012-04-26,86
2012-04-27,84
2012-04-28,76
2012-04-29,83
2012-04-30,87
2012-05-01,91
2012-05-02,92
2012-05-03,87
2012-05-04,83
2012-05-05,79
2012-05-06,81
2012-05-07,90
2012-05-08,93
2012-05-09,81
2012-05-10,85
2012-05-11,83
2012-05-12,76
2012-05-13,79
2012-05-14,90
2012-05-15,89
2012-05-16,89
2012-05-17,83
2012-05-18,75
2012-05-19,75
2012-05-20,81
2012-05-21,83
2012-05-22,85
2012-05-23,84
2012-05-24,82
2012-05-25,77
2012-05-26,73
2012-05-27,76
2012-05-28,77
2012-05-29,83
2012-05-30,82
2012-05-31,82
2012-06-01,79
2012-06-02,75
2012-06-03,80
2012-06-04,89
2012-06-05,82
2012-06-06,85
2012-06-07,79
2012-06-08,75
2012-06-09,74
2012-06-10,77
2012-06-11,81
2012-06-12,80
2012-06-13,85
2012-06-14,77
2012-06-15,75
2012-06-16,77
2012-06-17,75
2012-06-18,79
2012-06-19,79
2012-06-20,79
2012-06-21,77
2012-06-22,71
2012-06-23,74
2012-06-24,80
2012-06-25,79
2012-06-26,80
2012-06-27,79
2012-06-28,74
2012-06-29,73
2012-06-30,72
2012-07-01,71
2012-07-02,74
2012-07-03,74
2012-07-04,72
2012-07-05,72
2012-07-06,76
2012-07-07,75
2012-07-08,77
2012-07-09,77
2012-07-10,79
2012-07-11,76
2012-07-12,75
2012-07-13,72
2012-07-14,78
2012-07-15,78
2012-07-16,77
2012-07-17,79
2012-07-18,78
2012-07-19,79
2012-07-20,71
2012-07-21,75
2012-07-22,78
2012-07-23,74
2012-07-24,83
2012-07-25,76
2012-07-26,79
2012-07-27,71
2012-07-28,71
2012-07-29,74
2012-07-30,76
2012-07-31,80
2012-08-01,79
2012-08-02,78
2012-08-03,75
2012-08-04,79
2012-08-05,79
2012-08-06,78
2012-08-07,83
2012-08-08,81
2012-08-09,80
2012-08-10,79
2012-08-11,77
2012-08-12,83
2012-08-13,84
2012-08-14,86
2012-08-15,83
2012-08-16,86
2012-08-17,86
2012-08-18,85
2012-08-19,91
2012-08-20,91
2012-08-21,91
2012-08-22,100
2012-08-23,91
2012-08-24,86
2012-08-25,82
2012-08-26,87
2012-08-27,95
2012-08-28,94
2012-08-29,93
2012-08-30,95
2012-08-31,86
2012-09-01,79
2012-09-02,85
2012-09-03,93
2012-09-04,96
2012-09-05,93
2012-09-06,98
2012-09-07,86
2012-09-08,84
2012-09-09,93
2012-09-10,99
2012-09-11,95
2012-09-12,93
2012-09-13,90
2012-09-14,86
2012-09-15,76
2012-09-16,82
2012-09-17,87
