Category: Books & Literature

Day,Book: (Canada)
2016-12-01,97
2016-12-02,93
2016-12-03,92
2016-12-04,98
2016-12-05,99
2016-12-06,100
2016-12-07,97
2016-12-08,97
2016-12-09,83
2016-12-10,83
2016-12-11,93
2016-12-12,92
2016-12-13,92
2016-12-14,94
2016-12-15,85
2016-12-16,82
2016-12-17,83
2016-12-18,91
2016-12-19,87
2016-12-20,98
2016-12-21,96
2016-12-22,89
2016-12-23,75
2016-12-24,68
2016-12-25,63
2016-12-26,71
2016-12-27,77
2016-12-28,79
2016-12-29,75
2016-12-30,74
2016-12-31,71
2017-01-01,64
2017-01-02,84
2017-01-03,80
2017-01-04,73
2017-01-05,83
2017-01-06,75
2017-01-07,79
2017-01-08,86
2017-01-09,86
2017-01-10,96
2017-01-11,96
2017-01-12,82
2017-01-13,84
2017-01-14,85
2017-01-15,90
2017-01-16,92
2017-01-17,92
2017-01-18,90
2017-01-19,85
2017-01-20,80
2017-01-21,81
2017-01-22,81
2017-01-23,89
2017-01-24,86
2017-01-25,88
2017-01-26,87
2017-01-27,82
2017-01-28,79
2017-01-29,77
2017-01-30,82
2017-01-31,87
2017-02-01,79
2017-02-02,89
2017-02-03,87
2017-02-04,78
2017-02-05,83
2017-02-06,81
2017-02-07,83
2017-02-08,86
2017-02-09,87
2017-02-10,81
2017-02-11,79
2017-02-12,82
2017-02-13,81
2017-02-14,83
2017-02-15,79
2017-02-16,86
2017-02-17,80
2017-02-18,80
2017-02-19,78
2017-02-20,78
2017-02-21,82
2017-02-22,86
2017-02-23,82
2017-02-24,79
2017-02-25,78
2017-02-26,78
2017-02-27,82
2017-02-28,81
2017-03-01,81
2017-03-02,88
2017-03-03,78
2017-03-04,77
2017-03-05,85
2017-03-06,91
2017-03-07,83
2017-03-08,83
2017-03-09,84
2017-03-10,74
2017-03-11,75
2017-03-12,78
2017-03-13,71
2017-03-14,78
2017-03-15,73
2017-03-16,73
2017-03-17,71
2017-03-18,74
2017-03-19,80
2017-03-20,86
2017-03-21,85
2017-03-22,85
2017-03-23,82
2017-03-24,80
2017-03-25,79
2017-03-26,84
2017-03-27,85
2017-03-28,90
2017-03-29,87
2017-03-30,85
2017-03-31,81
2017-04-01,77
2017-04-02,82
2017-04-03,82
2017-04-04,84
2017-04-05,82
2017-04-06,86
2017-04-07,79
2017-04-08,73
2017-04-09,78
2017-04-10,83
2017-04-11,87
2017-04-12,84
2017-04-13,78
2017-04-14,62
2017-04-15,67
2017-04-16,66
2017-04-17,70
2017-04-18,83
2017-04-19,83
2017-04-20,79
2017-04-21,78
2017-04-22,74
2017-04-23,79
2017-04-24,78
2017-04-25,87
2017-04-26,78
2017-04-27,74
2017-04-28,72
2017-04-29,71
2017-04-30,76
2017-05-01,88
2017-05-02,87
2017-05-03,89
2017-05-04,76
