Category: Books & Literature

Day,Book: (Canada)
2015-12-01,93
2015-12-02,92
2015-12-03,82
2015-12-04,82
2015-12-05,86
2015-12-06,82
2015-12-07,86
2015-12-08,92
2015-12-09,93
2015-12-10,83
2015-12-11,83
2015-12-12,82
2015-12-13,85
2015-12-14,92
2015-12-15,89
2015-12-16,95
2015-12-17,86
2015-12-18,77
2015-12-19,81
2015-12-20,77
2015-12-21,82
2015-12-22,83
2015-12-23,77
2015-12-24,67
2015-12-25,65
2015-12-26,71
2015-12-27,81
2015-12-28,82
2015-12-29,78
2015-12-30,76
2015-12-31,73
2016-01-01,73
2016-01-02,89
2016-01-03,100
2016-01-04,92
2016-01-05,91
2016-01-06,98
2016-01-07,99
2016-01-08,94
2016-01-09,84
2016-01-10,93
2016-01-11,88
2016-01-12,89
2016-01-13,90
2016-01-14,90
2016-01-15,77
2016-01-16,80
2016-01-17,88
2016-01-18,90
2016-01-19,92
2016-01-20,89
2016-01-21,85
2016-01-22,81
2016-01-23,77
2016-01-24,82
2016-01-25,92
2016-01-26,81
2016-01-27,79
2016-01-28,80
2016-01-29,73
2016-01-30,76
2016-01-31,79
2016-02-01,81
2016-02-02,81
2016-02-03,83
2016-02-04,83
2016-02-05,75
2016-02-06,78
2016-02-07,80
2016-02-08,78
2016-02-09,76
2016-02-10,94
2016-02-11,99
2016-02-12,81
2016-02-13,78
2016-02-14,84
2016-02-15,76
2016-02-16,75
2016-02-17,76
2016-02-18,79
2016-02-19,74
2016-02-20,86
2016-02-21,83
2016-02-22,83
2016-02-23,81
2016-02-24,75
2016-02-25,75
2016-02-26,80
2016-02-27,74
2016-02-28,77
2016-02-29,76
2016-03-01,81
2016-03-02,77
2016-03-03,85
2016-03-04,73
2016-03-05,73
2016-03-06,77
2016-03-07,77
2016-03-08,77
2016-03-09,77
2016-03-10,77
2016-03-11,71
2016-03-12,66
2016-03-13,72
2016-03-14,74
2016-03-15,71
2016-03-16,71
2016-03-17,70
2016-03-18,69
2016-03-19,74
2016-03-20,77
2016-03-21,76
2016-03-22,77
2016-03-23,72
2016-03-24,70
2016-03-25,65
2016-03-26,71
2016-03-27,66
2016-03-28,73
2016-03-29,78
2016-03-30,80
2016-03-31,77
2016-04-01,71
2016-04-02,70
2016-04-03,75
2016-04-04,81
2016-04-05,74
2016-04-06,78
2016-04-07,77
2016-04-08,75
2016-04-09,76
2016-04-10,80
2016-04-11,87
2016-04-12,82
2016-04-13,76
2016-04-14,77
2016-04-15,72
2016-04-16,73
2016-04-17,76
2016-04-18,77
2016-04-19,78
2016-04-20,76
2016-04-21,77
2016-04-22,69
2016-04-23,65
2016-04-24,71
2016-04-25,80
2016-04-26,82
2016-04-27,78
2016-04-28,75
2016-04-29,70
2016-04-30,70
2016-05-01,79
2016-05-02,74
2016-05-03,76
2016-05-04,71
2016-05-05,71
2016-05-06,69
2016-05-07,63
2016-05-08,72
2016-05-09,74
2016-05-10,77
2016-05-11,73
2016-05-12,73
2016-05-13,69
2016-05-14,76
2016-05-15,79
2016-05-16,70
2016-05-17,76
2016-05-18,74
2016-05-19,68
2016-05-20,63
2016-05-21,62
2016-05-22,62
2016-05-23,75
2016-05-24,74
2016-05-25,71
2016-05-26,71
2016-05-27,70
2016-05-28,63
2016-05-29,68
2016-05-30,78
2016-05-31,81
2016-06-01,78
