Category: Books & Literature

Day,Book: (Canada)
2013-04-01,80
2013-04-02,84
2013-04-03,77
2013-04-04,76
2013-04-05,76
2013-04-06,69
2013-04-07,83
2013-04-08,74
2013-04-09,76
2013-04-10,77
2013-04-11,75
2013-04-12,76
2013-04-13,83
2013-04-14,80
2013-04-15,75
2013-04-16,77
2013-04-17,75
2013-04-18,74
2013-04-19,70
2013-04-20,68
2013-04-21,74
2013-04-22,75
2013-04-23,76
2013-04-24,75
2013-04-25,74
2013-04-26,69
2013-04-27,66
2013-04-28,75
2013-04-29,72
2013-04-30,73
2013-05-01,76
2013-05-02,60
2013-05-03,65
2013-05-04,65
2013-05-05,72
2013-05-06,73
2013-05-07,71
2013-05-08,75
2013-05-09,71
2013-05-10,71
2013-05-11,67
2013-05-12,73
2013-05-13,73
2013-05-14,74
2013-05-15,70
2013-05-16,68
2013-05-17,72
2013-05-18,69
2013-05-19,67
2013-05-20,72
2013-05-21,72
2013-05-22,75
2013-05-23,77
2013-05-24,68
2013-05-25,65
2013-05-26,76
2013-05-27,76
2013-05-28,76
2013-05-29,74
2013-05-30,73
2013-05-31,63
2013-06-01,70
2013-06-02,70
2013-06-03,85
2013-06-04,80
2013-06-05,77
2013-06-06,79
2013-06-07,74
2013-06-08,73
2013-06-09,83
2013-06-10,85
2013-06-11,79
2013-06-12,73
2013-06-13,70
2013-06-14,72
2013-06-15,65
2013-06-16,70
2013-06-17,72
2013-06-18,71
2013-06-19,68
2013-06-20,66
2013-06-21,58
2013-06-22,66
2013-06-23,68
2013-06-24,67
2013-06-25,65
2013-06-26,57
2013-06-27,70
2013-06-28,62
2013-06-29,66
2013-06-30,66
2013-07-01,65
2013-07-02,67
2013-07-03,61
2013-07-04,61
2013-07-05,61
2013-07-06,70
2013-07-07,68
2013-07-08,66
2013-07-09,58
2013-07-10,65
2013-07-11,61
2013-07-12,60
2013-07-13,65
2013-07-14,67
2013-07-15,67
2013-07-16,71
2013-07-17,64
2013-07-18,67
2013-07-19,68
2013-07-20,70
2013-07-21,71
2013-07-22,67
2013-07-23,70
2013-07-24,66
2013-07-25,70
2013-07-26,61
2013-07-27,71
2013-07-28,69
2013-07-29,71
2013-07-30,68
2013-07-31,70
2013-08-01,69
2013-08-02,73
2013-08-03,66
2013-08-04,73
2013-08-05,67
2013-08-06,70
2013-08-07,67
2013-08-08,67
2013-08-09,61
2013-08-10,73
2013-08-11,76
2013-08-12,69
2013-08-13,72
2013-08-14,66
2013-08-15,70
2013-08-16,63
2013-08-17,68
2013-08-18,70
2013-08-19,67
2013-08-20,72
2013-08-21,72
2013-08-22,69
2013-08-23,67
2013-08-24,66
2013-08-25,69
2013-08-26,68
2013-08-27,70
2013-08-28,70
2013-08-29,67
2013-08-30,71
2013-08-31,65
2013-09-01,67
2013-09-02,73
2013-09-03,77
2013-09-04,81
2013-09-05,84
2013-09-06,78
2013-09-07,82
2013-09-08,81
2013-09-09,89
2013-09-10,75
2013-09-11,82
2013-09-12,83
2013-09-13,77
2013-09-14,79
2013-09-15,76
2013-09-16,76
2013-09-17,76
2013-09-18,77
2013-09-19,71
2013-09-20,72
2013-09-21,67
2013-09-22,76
2013-09-23,75
2013-09-24,83
2013-09-25,77
2013-09-26,79
2013-09-27,72
2013-09-28,70
2013-09-29,79
2013-09-30,76
2013-10-01,72
2013-10-02,77
2013-10-03,81
2013-10-04,70
2013-10-05,70
2013-10-06,80
2013-10-07,77
2013-10-08,77
2013-10-09,78
2013-10-10,81
2013-10-11,79
2013-10-12,67
2013-10-13,70
2013-10-14,78
2013-10-15,81
2013-10-16,82
2013-10-17,77
2013-10-18,75
2013-10-19,76
2013-10-20,77
2013-10-21,75
2013-10-22,78
2013-10-23,79
2013-10-24,79
2013-10-25,72
2013-10-26,72
2013-10-27,81
2013-10-28,85
2013-10-29,78
2013-10-30,76
2013-10-31,67
2013-11-01,69
2013-11-02,73
2013-11-03,84
2013-11-04,79
2013-11-05,77
2013-11-06,79
2013-11-07,81
2013-11-08,74
2013-11-09,74
2013-11-10,79
2013-11-11,78
2013-11-12,83
2013-11-13,82
2013-11-14,75
2013-11-15,77
2013-11-16,76
2013-11-17,87
2013-11-18,88
2013-11-19,87
2013-11-20,94
2013-11-21,95
2013-11-22,82
2013-11-23,90
2013-11-24,100
2013-11-25,88
2013-11-26,86
2013-11-27,85
2013-11-28,89
2013-11-29,75
2013-11-30,81
2013-12-01,81
