Category: Books & Literature

Day,Book: (Canada)
2016-06-01,71
2016-06-02,64
2016-06-03,65
2016-06-04,63
2016-06-05,68
2016-06-06,67
2016-06-07,74
2016-06-08,73
2016-06-09,68
2016-06-10,64
2016-06-11,67
2016-06-12,65
2016-06-13,66
2016-06-14,66
2016-06-15,69
2016-06-16,67
2016-06-17,63
2016-06-18,60
2016-06-19,61
2016-06-20,60
2016-06-21,62
2016-06-22,65
2016-06-23,63
2016-06-24,55
2016-06-25,60
2016-06-26,62
2016-06-27,60
2016-06-28,63
2016-06-29,62
2016-06-30,56
2016-07-01,55
2016-07-02,66
2016-07-03,76
2016-07-04,66
2016-07-05,66
2016-07-06,59
2016-07-07,67
2016-07-08,52
2016-07-09,57
2016-07-10,57
2016-07-11,64
2016-07-12,63
2016-07-13,65
2016-07-14,61
2016-07-15,55
2016-07-16,55
2016-07-17,55
2016-07-18,57
2016-07-19,55
2016-07-20,62
2016-07-21,55
2016-07-22,55
2016-07-23,58
2016-07-24,64
2016-07-25,66
2016-07-26,59
2016-07-27,64
2016-07-28,56
2016-07-29,62
2016-07-30,65
2016-07-31,87
2016-08-01,78
2016-08-02,70
2016-08-03,67
2016-08-04,60
2016-08-05,59
2016-08-06,60
2016-08-07,58
2016-08-08,58
2016-08-09,67
2016-08-10,56
2016-08-11,54
2016-08-12,52
2016-08-13,58
2016-08-14,62
2016-08-15,56
2016-08-16,62
2016-08-17,59
2016-08-18,60
2016-08-19,57
2016-08-20,55
2016-08-21,57
2016-08-22,57
2016-08-23,66
2016-08-24,67
2016-08-25,68
2016-08-26,64
2016-08-27,60
2016-08-28,65
2016-08-29,61
2016-08-30,65
2016-08-31,65
2016-09-01,67
2016-09-02,58
2016-09-03,62
2016-09-04,62
2016-09-05,68
2016-09-06,70
2016-09-07,73
2016-09-08,76
2016-09-09,71
2016-09-10,64
2016-09-11,68
2016-09-12,73
2016-09-13,74
2016-09-14,75
2016-09-15,80
2016-09-16,70
2016-09-17,72
2016-09-18,66
2016-09-19,75
2016-09-20,74
2016-09-21,70
2016-09-22,66
2016-09-23,66
2016-09-24,61
2016-09-25,69
2016-09-26,67
2016-09-27,73
2016-09-28,68
2016-09-29,74
2016-09-30,69
2016-10-01,69
2016-10-02,68
2016-10-03,73
2016-10-04,70
2016-10-05,66
2016-10-06,68
2016-10-07,63
2016-10-08,64
2016-10-09,61
2016-10-10,57
2016-10-11,70
2016-10-12,76
2016-10-13,73
2016-10-14,68
2016-10-15,64
2016-10-16,74
2016-10-17,78
2016-10-18,71
2016-10-19,74
2016-10-20,75
2016-10-21,71
2016-10-22,73
2016-10-23,73
2016-10-24,72
2016-10-25,79
2016-10-26,76
2016-10-27,73
2016-10-28,72
2016-10-29,59
2016-10-30,75
2016-10-31,68
2016-11-01,72
2016-11-02,80
2016-11-03,75
2016-11-04,79
2016-11-05,76
2016-11-06,77
2016-11-07,85
2016-11-08,80
2016-11-09,58
2016-11-10,77
2016-11-11,72
2016-11-12,77
2016-11-13,83
2016-11-14,92
2016-11-15,86
2016-11-16,86
2016-11-17,87
2016-11-18,80
2016-11-19,78
2016-11-20,100
2016-11-21,98
2016-11-22,91
2016-11-23,87
2016-11-24,86
2016-11-25,79
2016-11-26,83
2016-11-27,97
2016-11-28,89
2016-11-29,97
2016-11-30,91
2016-12-01,89
