Category: Books & Literature

Day,Book: (Canada)
2012-08-01,68
2012-08-02,62
2012-08-03,65
2012-08-04,63
2012-08-05,73
2012-08-06,66
2012-08-07,63
2012-08-08,66
2012-08-09,63
2012-08-10,64
2012-08-11,69
2012-08-12,74
2012-08-13,63
2012-08-14,71
2012-08-15,66
2012-08-16,63
2012-08-17,63
2012-08-18,71
2012-08-19,70
2012-08-20,64
2012-08-21,65
2012-08-22,75
2012-08-23,65
2012-08-24,62
2012-08-25,68
2012-08-26,74
2012-08-27,69
2012-08-28,72
2012-08-29,73
2012-08-30,63
2012-08-31,64
2012-09-01,69
2012-09-02,74
2012-09-03,73
2012-09-04,72
2012-09-05,78
2012-09-06,83
2012-09-07,77
2012-09-08,75
2012-09-09,73
2012-09-10,80
2012-09-11,84
2012-09-12,76
2012-09-13,76
2012-09-14,66
2012-09-15,76
2012-09-16,75
2012-09-17,74
2012-09-18,71
2012-09-19,76
2012-09-20,78
2012-09-21,72
2012-09-22,72
2012-09-23,81
2012-09-24,77
2012-09-25,75
2012-09-26,77
2012-09-27,85
2012-09-28,83
2012-09-29,73
2012-09-30,73
2012-10-01,81
2012-10-02,74
2012-10-03,75
2012-10-04,63
2012-10-05,63
2012-10-06,70
2012-10-07,68
2012-10-08,81
2012-10-09,74
2012-10-10,74
2012-10-11,80
2012-10-12,69
2012-10-13,68
2012-10-14,82
2012-10-15,78
2012-10-16,78
2012-10-17,76
2012-10-18,91
2012-10-19,72
2012-10-20,67
2012-10-21,79
2012-10-22,75
2012-10-23,77
2012-10-24,79
2012-10-25,76
2012-10-26,67
2012-10-27,63
2012-10-28,80
2012-10-29,76
2012-10-30,72
2012-10-31,71
2012-11-01,73
2012-11-02,71
2012-11-03,67
2012-11-04,83
2012-11-05,80
2012-11-06,82
2012-11-07,73
2012-11-08,75
2012-11-09,72
2012-11-10,69
2012-11-11,78
2012-11-12,82
2012-11-13,86
2012-11-14,84
2012-11-15,84
2012-11-16,88
2012-11-17,87
2012-11-18,96
2012-11-19,82
2012-11-20,83
2012-11-21,82
2012-11-22,80
2012-11-23,79
2012-11-24,74
2012-11-25,86
2012-11-26,84
2012-11-27,87
2012-11-28,82
2012-11-29,79
2012-11-30,80
2012-12-01,79
2012-12-02,86
2012-12-03,82
2012-12-04,84
2012-12-05,81
2012-12-06,80
2012-12-07,75
2012-12-08,82
2012-12-09,90
2012-12-10,82
2012-12-11,85
2012-12-12,83
2012-12-13,85
2012-12-14,78
2012-12-15,80
2012-12-16,93
2012-12-17,86
2012-12-18,88
2012-12-19,84
2012-12-20,75
2012-12-21,70
2012-12-22,75
2012-12-23,74
2012-12-24,69
2012-12-25,85
2012-12-26,100
2012-12-27,91
2012-12-28,83
2012-12-29,93
2012-12-30,88
2012-12-31,80
2013-01-01,76
2013-01-02,86
2013-01-03,82
2013-01-04,78
2013-01-05,84
2013-01-06,90
2013-01-07,94
2013-01-08,87
2013-01-09,91
2013-01-10,85
2013-01-11,80
2013-01-12,77
2013-01-13,86
2013-01-14,78
2013-01-15,86
2013-01-16,82
2013-01-17,79
2013-01-18,78
2013-01-19,76
2013-01-20,82
2013-01-21,76
2013-01-22,78
2013-01-23,76
2013-01-24,78
2013-01-25,73
2013-01-26,70
2013-01-27,78
2013-01-28,71
2013-01-29,74
2013-01-30,75
2013-01-31,71
2013-02-01,68
2013-02-02,70
2013-02-03,73
2013-02-04,69
2013-02-05,79
2013-02-06,78
2013-02-07,76
2013-02-08,71
2013-02-09,78
2013-02-10,74
2013-02-11,67
2013-02-12,75
2013-02-13,74
2013-02-14,69
2013-02-15,71
2013-02-16,69
2013-02-17,75
2013-02-18,74
2013-02-19,74
2013-02-20,71
2013-02-21,71
2013-02-22,67
2013-02-23,67
2013-02-24,79
2013-02-25,71
2013-02-26,75
2013-02-27,73
2013-02-28,73
2013-03-01,73
2013-03-02,75
2013-03-03,78
2013-03-04,74
2013-03-05,69
2013-03-06,71
2013-03-07,73
2013-03-08,67
2013-03-09,67
2013-03-10,63
2013-03-11,69
2013-03-12,69
2013-03-13,66
2013-03-14,67
2013-03-15,62
2013-03-16,71
2013-03-17,70
2013-03-18,67
2013-03-19,74
2013-03-20,72
2013-03-21,69
2013-03-22,67
2013-03-23,70
2013-03-24,79
2013-03-25,68
2013-03-26,65
2013-03-27,73
2013-03-28,66
2013-03-29,63
2013-03-30,67
2013-03-31,65
2013-04-01,75
