Category: Books & Literature

Day,Book: (Canada)
2014-08-01,66
2014-08-02,68
2014-08-03,71
2014-08-04,64
2014-08-05,67
2014-08-06,69
2014-08-07,68
2014-08-08,67
2014-08-09,69
2014-08-10,73
2014-08-11,69
2014-08-12,69
2014-08-13,71
2014-08-14,73
2014-08-15,61
2014-08-16,71
2014-08-17,71
2014-08-18,63
2014-08-19,70
2014-08-20,71
2014-08-21,63
2014-08-22,66
2014-08-23,70
2014-08-24,66
2014-08-25,64
2014-08-26,69
2014-08-27,70
2014-08-28,73
2014-08-29,68
2014-08-30,66
2014-08-31,71
2014-09-01,78
2014-09-02,77
2014-09-03,78
2014-09-04,85
2014-09-05,82
2014-09-06,79
2014-09-07,88
2014-09-08,84
2014-09-09,85
2014-09-10,84
2014-09-11,82
2014-09-12,77
2014-09-13,72
2014-09-14,74
2014-09-15,78
2014-09-16,80
2014-09-17,83
2014-09-18,76
2014-09-19,74
2014-09-20,70
2014-09-21,79
2014-09-22,80
2014-09-23,76
2014-09-24,81
2014-09-25,84
2014-09-26,75
2014-09-27,75
2014-09-28,76
2014-09-29,77
2014-09-30,79
2014-10-01,81
2014-10-02,80
2014-10-03,77
2014-10-04,70
2014-10-05,79
2014-10-06,80
2014-10-07,83
2014-10-08,81
2014-10-09,79
2014-10-10,74
2014-10-11,69
2014-10-12,73
2014-10-13,83
2014-10-14,82
2014-10-15,84
2014-10-16,75
2014-10-17,77
2014-10-18,77
2014-10-19,84
2014-10-20,82
2014-10-21,82
2014-10-22,74
2014-10-23,79
2014-10-24,77
2014-10-25,78
2014-10-26,77
2014-10-27,74
2014-10-28,83
2014-10-29,79
2014-10-30,77
2014-10-31,63
2014-11-01,70
2014-11-02,85
2014-11-03,84
2014-11-04,94
2014-11-05,79
2014-11-06,88
2014-11-07,83
2014-11-08,81
2014-11-09,84
2014-11-10,77
2014-11-11,79
2014-11-12,83
2014-11-13,85
2014-11-14,80
2014-11-15,84
2014-11-16,83
2014-11-17,90
2014-11-18,89
2014-11-19,91
2014-11-20,86
2014-11-21,85
2014-11-22,93
2014-11-23,94
2014-11-24,89
2014-11-25,92
2014-11-26,89
2014-11-27,87
2014-11-28,84
2014-11-29,84
2014-11-30,90
2014-12-01,94
2014-12-02,89
2014-12-03,93
2014-12-04,83
2014-12-05,87
2014-12-06,87
2014-12-07,94
2014-12-08,94
2014-12-09,95
2014-12-10,90
2014-12-11,86
2014-12-12,83
2014-12-13,84
2014-12-14,95
2014-12-15,89
2014-12-16,97
2014-12-17,91
2014-12-18,83
2014-12-19,81
2014-12-20,86
2014-12-21,89
2014-12-22,85
2014-12-23,81
2014-12-24,77
2014-12-25,73
2014-12-26,84
2014-12-27,89
2014-12-28,85
2014-12-29,85
2014-12-30,84
2014-12-31,69
2015-01-01,72
2015-01-02,86
2015-01-03,85
2015-01-04,93
2015-01-05,96
2015-01-06,95
2015-01-07,93
2015-01-08,100
2015-01-09,82
2015-01-10,86
2015-01-11,85
2015-01-12,88
2015-01-13,90
2015-01-14,84
2015-01-15,86
2015-01-16,83
2015-01-17,78
2015-01-18,86
2015-01-19,81
2015-01-20,84
2015-01-21,84
2015-01-22,80
2015-01-23,78
2015-01-24,78
2015-01-25,81
2015-01-26,75
2015-01-27,76
2015-01-28,83
2015-01-29,76
2015-01-30,77
2015-01-31,77
2015-02-01,79
2015-02-02,71
2015-02-03,79
2015-02-04,82
2015-02-05,81
2015-02-06,81
2015-02-07,80
2015-02-08,81
2015-02-09,79
2015-02-10,77
2015-02-11,78
2015-02-12,75
2015-02-13,73
2015-02-14,69
2015-02-15,77
2015-02-16,73
2015-02-17,76
2015-02-18,79
2015-02-19,82
2015-02-20,73
2015-02-21,78
2015-02-22,80
2015-02-23,74
2015-02-24,83
2015-02-25,79
2015-02-26,76
2015-02-27,74
2015-02-28,77
2015-03-01,77
2015-03-02,79
2015-03-03,76
2015-03-04,80
2015-03-05,80
2015-03-06,76
2015-03-07,73
2015-03-08,77
2015-03-09,83
2015-03-10,78
2015-03-11,77
2015-03-12,77
2015-03-13,74
2015-03-14,75
2015-03-15,76
2015-03-16,73
2015-03-17,71
2015-03-18,69
2015-03-19,66
2015-03-20,68
2015-03-21,66
2015-03-22,85
2015-03-23,77
2015-03-24,77
2015-03-25,82
2015-03-26,73
2015-03-27,73
2015-03-28,66
2015-03-29,79
2015-03-30,74
2015-03-31,70
2015-04-01,74
