2010-08-01,87
2010-08-02,79
2010-08-03,82
2010-08-04,74
2010-08-05,82
2010-08-06,82
2010-08-07,88
2010-08-08,90
2010-08-09,77
2010-08-10,80
2010-08-11,81
2010-08-12,81
2010-08-13,81
2010-08-14,87
2010-08-15,85
2010-08-16,74
2010-08-17,82
2010-08-18,77
2010-08-19,77
2010-08-20,80
2010-08-21,90
2010-08-22,87
2010-08-23,70
2010-08-24,75
2010-08-25,75
2010-08-26,75
2010-08-27,80
2010-08-28,86
2010-08-29,80
2010-08-30,76
2010-08-31,72
2010-09-01,76
2010-09-02,79
2010-09-03,76
2010-09-04,84
2010-09-05,86
2010-09-06,70
2010-09-07,74
2010-09-08,74
2010-09-09,79
2010-09-10,79
2010-09-11,89
2010-09-12,84
2010-09-13,75
2010-09-14,75
2010-09-15,77
2010-09-16,79
2010-09-17,78
2010-09-18,85
2010-09-19,89
2010-09-20,73
2010-09-21,82
2010-09-22,77
2010-09-23,77
2010-09-24,80
2010-09-25,83
2010-09-26,80
2010-09-27,77
2010-09-28,76
2010-09-29,82
2010-09-30,79
2010-10-01,83
2010-10-02,82
2010-10-03,79
2010-10-04,73
2010-10-05,74
2010-10-06,71
2010-10-07,73
2010-10-08,79
2010-10-09,80
2010-10-10,81
2010-10-11,75
2010-10-12,73
2010-10-13,74
2010-10-14,80
2010-10-15,77
2010-10-16,80
2010-10-17,78
2010-10-18,75
2010-10-19,75
2010-10-20,74
2010-10-21,80
2010-10-22,81
2010-10-23,84
2010-10-24,79
2010-10-25,74
2010-10-26,77
2010-10-27,78
2010-10-28,81
2010-10-29,79
2010-10-30,83
2010-10-31,81
2010-11-01,75
2010-11-02,74
2010-11-03,76
2010-11-04,80
2010-11-05,79
2010-11-06,83
2010-11-07,81
2010-11-08,74
2010-11-09,73
2010-11-10,75
2010-11-11,78
2010-11-12,80
2010-11-13,83
2010-11-14,82
2010-11-15,75
2010-11-16,75
2010-11-17,80
2010-11-18,78
2010-11-19,82
2010-11-20,85
2010-11-21,80
2010-11-22,76
2010-11-23,75
2010-11-24,75
2010-11-25,75
2010-11-26,73
2010-11-27,84
2010-11-28,78
2010-11-29,72
2010-11-30,73
2010-12-01,73
2010-12-02,75
2010-12-03,83
2010-12-04,93
2010-12-05,87
2010-12-06,74
2010-12-07,77
2010-12-08,81
2010-12-09,81
2010-12-10,79
2010-12-11,84
2010-12-12,84
2010-12-13,73
2010-12-14,77
2010-12-15,78
2010-12-16,75
2010-12-17,79
2010-12-18,83
2010-12-19,83
2010-12-20,76
2010-12-21,74
2010-12-22,78
2010-12-23,77
2010-12-24,82
2010-12-25,79
2010-12-26,81
2010-12-27,76
2010-12-28,76
2010-12-29,79
2010-12-30,81
2010-12-31,83
2011-01-01,95
2011-01-02,100
2011-01-03,87
2011-01-04,80
2011-01-05,82
2011-01-06,83
2011-01-07,90
2011-01-08,98
2011-01-09,92
2011-01-10,80
2011-01-11,79
2011-01-12,86
2011-01-13,84
2011-01-14,86
2011-01-15,98
2011-01-16,92
2011-01-17,90
2011-01-18,84
2011-01-19,84
2011-01-20,85
2011-01-21,89
2011-01-22,100
2011-01-23,90
2011-01-24,78
2011-01-25,81
2011-01-26,85
2011-01-27,86
2011-01-28,88
2011-01-29,96
2011-01-30,97
2011-01-31,81
2011-02-01,84
2011-02-02,85
2011-02-03,84
2011-02-04,87
2011-02-05,97
2011-02-06,90
2011-02-07,86
2011-02-08,88
2011-02-09,85
2011-02-10,86
2011-02-11,88
2011-02-12,92
2011-02-13,94
2011-02-14,88
2011-02-15,79
2011-02-16,82
2011-02-17,83
2011-02-18,89
2011-02-19,96
2011-02-20,91
2011-02-21,85
2011-02-22,83
2011-02-23,83
2011-02-24,82
2011-02-25,86
2011-02-26,94
2011-02-27,96
2011-02-28,91
2011-03-01,82
2011-03-02,86
2011-03-03,84
2011-03-04,90
2011-03-05,95
2011-03-06,98
2011-03-07,87
2011-03-08,89
2011-03-09,86
2011-03-10,85
2011-03-11,82
2011-03-12,84
2011-03-13,85
2011-03-14,75
2011-03-15,76
2011-03-16,90
2011-03-17,82
2011-03-18,84
2011-03-19,85
2011-03-20,90
2011-03-21,80
2011-03-22,78
2011-03-23,86
2011-03-24,88
2011-03-25,92
2011-03-26,95
2011-03-27,94
2011-03-28,80
2011-03-29,82
2011-03-30,81
2011-03-31,83
2011-04-01,87
