date,score
2012-01-01,23
2012-01-02,26
2012-01-03,30
2012-01-04,31
2012-01-05,31
2012-01-06,30
2012-01-07,17
2012-01-08,30
2012-01-09,38
2012-01-10,31
2012-01-11,35
2012-01-12,35
2012-01-13,31
2012-01-14,20
2012-01-15,31
2012-01-16,40
2012-01-17,36
2012-01-18,37
2012-01-19,37
2012-01-20,29
2012-01-21,25
2012-01-22,25
2012-01-23,33
2012-01-24,37
2012-01-25,32
2012-01-26,23
2012-01-27,36
2012-01-28,29
2012-01-29,34
2012-01-30,38
2012-01-31,46
2012-02-01,39
2012-02-02,46
2012-02-03,38
2012-02-04,32
2012-02-05,44
2012-02-06,55
2012-02-07,75
2012-02-08,46
2012-02-09,43
2012-02-10,31
2012-02-11,25
2012-02-12,38
2012-02-13,46
2012-02-14,52
2012-02-15,52
2012-02-16,45
2012-02-17,33
2012-02-18,26
2012-02-19,43
2012-02-20,50
2012-02-21,55
2012-02-22,48
2012-02-23,52
2012-02-24,30
2012-02-25,27
2012-02-26,51
2012-02-27,50
2012-02-28,50
2012-02-29,57
2012-03-01,50
2012-03-02,46
2012-03-03,41
2012-03-04,55
2012-03-05,66
2012-03-06,68
2012-03-07,64
2012-03-08,57
2012-03-09,41
2012-03-10,42
2012-03-11,60
2012-03-12,69
2012-03-13,63
2012-03-14,66
2012-03-15,60
2012-03-16,48
2012-03-17,45
2012-03-18,71
2012-03-19,74
2012-03-20,69
2012-03-21,79
2012-03-22,64
2012-03-23,57
2012-03-24,46
2012-03-25,83
2012-03-26,71
2012-03-27,68
2012-03-28,65
2012-03-29,75
2012-03-30,52
2012-03-31,42
2012-04-01,76
2012-04-02,75
2012-04-03,73
2012-04-04,70
2012-04-05,51
2012-04-06,42
2012-04-07,37
2012-04-08,42
2012-04-09,48
2012-04-10,47
2012-04-11,49
2012-04-12,55
2012-04-13,45
2012-04-14,43
2012-04-15,60
2012-04-16,59
2012-04-17,66
2012-04-18,65
2012-04-19,64
2012-04-20,56
2012-04-21,45
2012-04-22,68
2012-04-23,61
2012-04-24,60
2012-04-25,62
2012-04-26,72
2012-04-27,48
2012-04-28,52
2012-04-29,71
2012-04-30,81
2012-05-01,100
2012-05-02,83
2012-05-03,70
2012-05-04,60
2012-05-05,54
2012-05-06,71
2012-05-07,78
2012-05-08,74
2012-05-09,87
2012-05-10,81
2012-05-11,55
2012-05-12,50
2012-05-13,71
2012-05-14,72
2012-05-15,71
2012-05-16,72
2012-05-17,63
2012-05-18,61
2012-05-19,49
2012-05-20,73
2012-05-21,77
2012-05-22,64
2012-05-23,71
2012-05-24,74
2012-05-25,57
2012-05-26,54
2012-05-27,74
2012-05-28,72
2012-05-29,71
2012-05-30,74
2012-05-31,66
2012-06-01,54
2012-06-02,54
2012-06-03,71
2012-06-04,72
2012-06-05,99
2012-06-06,86
2012-06-07,82
2012-06-08,56
2012-06-09,57
2012-06-10,63
2012-06-11,72
2012-06-12,79
2012-06-13,73
2012-06-14,71
2012-06-15,49
2012-06-16,45
2012-06-17,70
2012-06-18,58
2012-06-19,58
2012-06-20,54
2012-06-21,53
2012-06-22,42
2012-06-23,35
2012-06-24,46
2012-06-25,52
2012-06-26,68
2012-06-27,48
2012-06-28,53
2012-06-29,36
2012-06-30,30
2012-07-01,40
2012-07-02,36
2012-07-03,59
2012-07-04,49
2012-07-05,52
2012-07-06,34
2012-07-07,28
2012-07-08,34
2012-07-09,44
2012-07-10,54
2012-07-11,57
2012-07-12,44
2012-07-13,37
2012-07-14,32
2012-07-15,46
2012-07-16,47
2012-07-17,58
2012-07-18,62
2012-07-19,46
2012-07-20,39
2012-07-21,35
2012-07-22,52
2012-07-23,60
2012-07-24,80
2012-07-25,73
2012-07-26,58
2012-07-27,49
2012-07-28,30
2012-07-29,58
2012-07-30,66
2012-07-31,74
2012-08-01,70
2012-08-02,59
2012-08-03,44
2012-08-04,39
2012-08-05,68
2012-08-06,59
2012-08-07,78
2012-08-08,76
2012-08-09,66
2012-08-10,53
2012-08-11,44
2012-08-12,62
2012-08-13,64
2012-08-14,81
2012-08-15,89
2012-08-16,63
2012-08-17,50
2012-08-18,48
2012-08-19,85
2012-08-20,83
2012-08-21,94
2012-08-22,88
2012-08-23,84
2012-08-24,55
2012-08-25,42
2012-08-26,68
2012-08-27,69
2012-08-28,87
